pdq,Spdq,aic
"(2, 0, 1)","(1, 0, 1, 36)",12.0
"(0, 2, 1)","(0, 2, 1, 36)",968.0810632017102
"(0, 2, 2)","(0, 2, 1, 36)",969.0691979246303
"(0, 2, 1)","(2, 2, 0, 36)",969.6402993581586
"(0, 2, 1)","(1, 2, 1, 36)",969.6517256551956
"(2, 2, 1)","(0, 2, 1, 36)",970.3905810785141
"(0, 2, 2)","(1, 2, 1, 36)",970.4791685223736
"(1, 2, 2)","(0, 2, 1, 36)",971.6798837457932
"(2, 2, 2)","(0, 2, 1, 36)",971.9291718095367
"(0, 2, 1)","(2, 2, 2, 36)",972.6358181949387
"(1, 2, 2)","(0, 2, 2, 36)",972.7500916327631
"(2, 2, 2)","(2, 2, 2, 36)",973.3644882655816
"(2, 2, 2)","(2, 2, 0, 36)",973.7998899880239
"(1, 2, 2)","(2, 2, 0, 36)",973.9098415024368
"(0, 2, 2)","(2, 2, 0, 36)",974.1416312774669
"(1, 2, 1)","(2, 2, 0, 36)",974.1813723075561
"(2, 2, 2)","(0, 2, 2, 36)",974.2440231814737
"(2, 2, 1)","(2, 2, 0, 36)",974.2631986594413
"(2, 2, 1)","(1, 2, 2, 36)",974.4199870470583
"(2, 2, 2)","(1, 2, 1, 36)",974.4477299304311
"(2, 2, 2)","(2, 2, 1, 36)",974.599653762389
"(1, 2, 1)","(0, 2, 1, 36)",974.6954281854952
"(1, 2, 2)","(2, 2, 1, 36)",974.8364292692091
"(1, 2, 2)","(1, 2, 1, 36)",974.8949148614308
"(2, 2, 2)","(1, 2, 2, 36)",975.1828011737073
"(1, 2, 2)","(1, 2, 2, 36)",975.4938152748653
"(1, 2, 1)","(2, 2, 1, 36)",975.576652681731
"(0, 2, 2)","(2, 2, 1, 36)",975.5934619406992
"(2, 2, 1)","(2, 2, 1, 36)",975.6562829927482
"(0, 2, 2)","(0, 2, 2, 36)",975.850665374407
"(1, 2, 1)","(0, 2, 2, 36)",975.8540954160069
"(2, 2, 1)","(0, 2, 2, 36)",975.8784398191491
"(0, 2, 1)","(2, 2, 1, 36)",975.9555551852192
"(1, 2, 1)","(1, 2, 1, 36)",976.1581170792881
"(2, 2, 1)","(1, 2, 1, 36)",976.2342915754456
"(0, 2, 1)","(0, 2, 2, 36)",976.2790221361342
"(1, 2, 1)","(1, 2, 2, 36)",976.5521449791274
"(0, 2, 2)","(1, 2, 2, 36)",976.5731619314556
"(1, 2, 2)","(2, 2, 2, 36)",976.6560344716195
"(0, 1, 0)","(1, 2, 1, 36)",976.7615555230944
"(0, 2, 1)","(1, 2, 2, 36)",976.9749742451922
"(1, 2, 1)","(2, 2, 2, 36)",977.4786409523808
"(0, 1, 1)","(0, 2, 2, 36)",977.47939552355
"(0, 2, 2)","(2, 2, 2, 36)",977.5071239529257
"(2, 2, 1)","(2, 2, 2, 36)",977.5572960190556
"(0, 1, 1)","(1, 2, 1, 36)",978.297528660421
"(1, 1, 2)","(1, 2, 1, 36)",978.704015591127
"(1, 1, 1)","(0, 2, 2, 36)",979.3208915150465
"(0, 1, 1)","(2, 2, 1, 36)",979.3433067997464
"(0, 1, 1)","(1, 2, 2, 36)",979.4698341863137
"(0, 1, 2)","(0, 2, 2, 36)",979.470893162104
"(1, 1, 0)","(0, 2, 2, 36)",979.5914275641695
"(1, 1, 1)","(1, 2, 1, 36)",980.0106172436379
"(0, 1, 2)","(1, 2, 1, 36)",980.1321723837233
"(0, 1, 1)","(2, 2, 0, 36)",980.1806175818897
"(0, 1, 0)","(0, 2, 2, 36)",980.3279973393253
"(2, 1, 0)","(0, 2, 2, 36)",980.4228600491527
"(1, 1, 2)","(2, 2, 0, 36)",980.4824519937755
"(0, 1, 0)","(0, 2, 1, 36)",980.535306939011
"(1, 1, 0)","(1, 2, 1, 36)",980.5538474087208
"(1, 1, 2)","(0, 2, 2, 36)",980.5909114243495
"(2, 2, 0)","(2, 2, 0, 36)",980.6105558874949
"(2, 1, 1)","(0, 2, 2, 36)",980.6656085456474
"(2, 1, 2)","(1, 2, 1, 36)",980.6851966840969
"(0, 1, 1)","(2, 2, 2, 36)",980.9697433503934
"(2, 1, 0)","(1, 2, 1, 36)",981.1539711776572
"(1, 1, 1)","(2, 2, 1, 36)",981.2002855053778
"(1, 1, 1)","(1, 2, 2, 36)",981.3129214327199
"(0, 1, 2)","(2, 2, 1, 36)",981.3471946066155
"(1, 1, 0)","(2, 2, 1, 36)",981.3818156490745
"(2, 1, 1)","(1, 2, 1, 36)",981.442970852267
"(0, 1, 2)","(1, 2, 2, 36)",981.4566763181531
"(1, 1, 0)","(1, 2, 2, 36)",981.538748165221
"(1, 1, 0)","(2, 2, 0, 36)",981.5751376521857
"(2, 2, 0)","(2, 2, 1, 36)",981.67358266326
"(0, 1, 2)","(2, 2, 0, 36)",981.7204460746278
"(1, 1, 2)","(0, 2, 1, 36)",981.7592774989382
"(1, 1, 2)","(2, 2, 2, 36)",981.7731133513
"(1, 1, 1)","(2, 2, 0, 36)",981.8111462916689
"(2, 2, 0)","(0, 2, 2, 36)",982.0113356926331
"(0, 1, 0)","(1, 2, 2, 36)",982.214865532047
"(2, 1, 0)","(2, 2, 1, 36)",982.2513687600185
"(2, 1, 0)","(2, 2, 0, 36)",982.3180427909334
"(0, 1, 0)","(2, 2, 1, 36)",982.340130610831
"(2, 1, 0)","(1, 2, 2, 36)",982.3774754852184
"(0, 1, 0)","(2, 2, 0, 36)",982.4205311382076
"(2, 2, 0)","(1, 2, 2, 36)",982.4477572159318
"(2, 1, 2)","(2, 2, 0, 36)",982.4713118436248
"(1, 1, 2)","(2, 2, 1, 36)",982.4761377447883
"(2, 1, 2)","(0, 2, 2, 36)",982.5273620997815
"(2, 1, 1)","(2, 2, 1, 36)",982.5328692899623
"(0, 1, 1)","(0, 2, 1, 36)",982.5508779355795
"(1, 1, 2)","(1, 2, 2, 36)",982.5770542799816
"(2, 1, 1)","(1, 2, 2, 36)",982.6517543226229
"(1, 1, 1)","(2, 2, 2, 36)",982.8510555294772
"(2, 2, 0)","(1, 2, 1, 36)",982.855876674114
"(2, 1, 2)","(0, 2, 1, 36)",982.8617746769298
"(2, 2, 0)","(0, 2, 1, 36)",982.9309531338843
"(0, 1, 2)","(2, 2, 2, 36)",983.0291909972997
"(1, 1, 0)","(2, 2, 2, 36)",983.0651741383915
"(2, 1, 1)","(2, 2, 0, 36)",983.1533040723299
"(2, 2, 0)","(2, 2, 2, 36)",983.5259982288086
"(0, 1, 0)","(2, 2, 2, 36)",983.7183986840275
"(1, 1, 0)","(0, 2, 1, 36)",983.7223314506257
"(2, 1, 0)","(2, 2, 2, 36)",983.9715334288744
"(2, 1, 1)","(2, 2, 2, 36)",984.1933195695525
"(0, 1, 2)","(0, 2, 1, 36)",984.347616218046
"(1, 1, 1)","(0, 2, 1, 36)",984.3825027323259
"(2, 1, 2)","(2, 2, 1, 36)",984.3899485095455
"(2, 1, 2)","(1, 2, 2, 36)",984.5202789870225
"(2, 1, 0)","(0, 2, 1, 36)",984.8895143264668
"(1, 2, 0)","(1, 2, 2, 36)",985.5516579309831
"(1, 2, 0)","(0, 2, 2, 36)",985.6052957655393
"(2, 1, 2)","(2, 2, 2, 36)",986.0021877793263
"(2, 1, 1)","(0, 2, 1, 36)",986.1909905782034
"(1, 2, 0)","(2, 2, 0, 36)",988.5164651100271
"(1, 0, 1)","(1, 2, 0, 36)",989.2337728866975
"(1, 0, 1)","(0, 2, 1, 36)",989.2738187014886
"(1, 2, 0)","(0, 2, 1, 36)",989.863826715519
"(1, 2, 0)","(2, 2, 1, 36)",990.0878747094872
"(1, 0, 1)","(1, 2, 1, 36)",990.8635162050541
"(1, 0, 1)","(2, 2, 0, 36)",990.9017894395881
"(1, 0, 1)","(0, 2, 2, 36)",990.9073566433485
"(1, 0, 2)","(1, 2, 0, 36)",990.9901511650929
"(1, 0, 2)","(0, 2, 1, 36)",991.040184261013
"(2, 0, 1)","(0, 2, 1, 36)",991.06899501205
"(2, 0, 1)","(1, 2, 0, 36)",991.2023418199742
"(1, 0, 1)","(0, 2, 0, 36)",991.2548885496585
"(1, 2, 0)","(1, 2, 1, 36)",991.5950443629324
"(1, 2, 0)","(2, 2, 2, 36)",992.0207116075459
"(0, 1, 0)","(0, 2, 0, 36)",992.2757203459496
"(0, 1, 0)","(1, 2, 0, 36)",992.550598906994
"(2, 0, 0)","(0, 2, 0, 36)",992.5809085009407
"(2, 0, 0)","(1, 2, 0, 36)",992.6089933969117
"(1, 0, 2)","(1, 2, 1, 36)",992.6223792771243
"(2, 0, 1)","(1, 2, 1, 36)",992.6400694072632
"(2, 0, 0)","(0, 2, 1, 36)",992.6525394512366
"(1, 0, 2)","(2, 2, 0, 36)",992.65637816312
"(1, 0, 2)","(0, 2, 2, 36)",992.6630436601816
"(2, 0, 1)","(2, 2, 0, 36)",992.6860536945535
"(2, 0, 1)","(0, 2, 2, 36)",992.6929029257265
"(2, 0, 2)","(1, 2, 0, 36)",992.8007725320573
"(2, 0, 2)","(0, 2, 1, 36)",992.858909360283
"(1, 0, 1)","(2, 2, 1, 36)",992.9047011179734
"(1, 0, 1)","(1, 2, 2, 36)",992.9072647996475
"(1, 0, 2)","(0, 2, 0, 36)",993.2036407317164
"(2, 0, 1)","(0, 2, 0, 36)",993.2198375980369
"(2, 0, 1)","(2, 2, 2, 36)",993.8038727407742
"(1, 1, 0)","(1, 2, 0, 36)",994.1905513756741
"(2, 0, 0)","(1, 2, 1, 36)",994.3415541926925
"(2, 0, 0)","(2, 2, 0, 36)",994.3589286551797
"(2, 0, 0)","(0, 2, 2, 36)",994.3615650722955
