pdq,Spdq,aic
"(1, 0, 0)","(1, 0, 0, 36)",6.0
"(0, 0, 0)","(2, 0, 2, 36)",10.0
"(1, 2, 1)","(0, 2, 1, 36)",983.5857828236024
"(0, 2, 2)","(0, 2, 1, 36)",983.7531263052666
"(0, 2, 1)","(0, 2, 2, 36)",984.7042778901184
"(1, 2, 1)","(0, 2, 2, 36)",985.0580425095527
"(0, 2, 2)","(0, 2, 2, 36)",985.1615254431023
"(1, 2, 1)","(1, 2, 1, 36)",985.2961216447561
"(0, 2, 1)","(1, 2, 2, 36)",985.3313853209078
"(0, 2, 2)","(1, 2, 1, 36)",985.4262268122532
"(0, 2, 1)","(0, 2, 1, 36)",985.8720491074474
"(0, 2, 1)","(1, 2, 1, 36)",985.8848793811079
"(0, 2, 2)","(2, 2, 1, 36)",985.8859293432237
"(0, 2, 2)","(2, 2, 0, 36)",986.4405786085014
"(0, 2, 1)","(2, 2, 1, 36)",986.6030284994937
"(0, 2, 2)","(1, 2, 2, 36)",988.0766802383096
"(2, 2, 2)","(1, 2, 1, 36)",988.2916045275281
"(1, 2, 2)","(1, 2, 2, 36)",989.2947358529996
"(1, 2, 1)","(1, 2, 2, 36)",991.2083807444558
"(1, 2, 2)","(0, 2, 1, 36)",991.7922467065879
"(1, 2, 2)","(2, 2, 0, 36)",992.3346510485334
"(2, 2, 2)","(0, 2, 1, 36)",992.8598482607123
"(2, 1, 1)","(0, 2, 1, 36)",992.9149748543033
"(1, 1, 1)","(0, 2, 1, 36)",993.0245096186303
"(0, 1, 1)","(0, 2, 1, 36)",993.2992615928189
"(2, 2, 2)","(2, 2, 0, 36)",993.3619875877646
"(1, 1, 2)","(0, 2, 1, 36)",993.5535806765007
"(1, 2, 2)","(0, 2, 2, 36)",993.634272145363
"(1, 2, 2)","(2, 2, 1, 36)",993.7062904902037
"(1, 2, 2)","(1, 2, 1, 36)",993.7141979680373
"(1, 1, 1)","(0, 2, 2, 36)",994.5160430401787
"(2, 2, 2)","(0, 2, 2, 36)",994.6804372945033
"(2, 2, 2)","(2, 2, 1, 36)",994.7212564774376
"(1, 2, 1)","(2, 2, 0, 36)",995.1698223004106
"(2, 1, 1)","(1, 2, 1, 36)",995.5095571214675
"(1, 2, 2)","(2, 2, 2, 36)",995.6121405486463
"(0, 1, 0)","(0, 2, 1, 36)",995.9074036378619
"(2, 2, 1)","(1, 2, 2, 36)",995.9893080304759
"(2, 2, 1)","(0, 2, 1, 36)",996.0062524152765
"(2, 2, 1)","(2, 2, 0, 36)",996.4029356308213
"(0, 1, 0)","(0, 2, 2, 36)",996.5504056683297
"(2, 2, 2)","(1, 2, 2, 36)",996.5774489431469
"(2, 2, 2)","(2, 2, 2, 36)",996.6256091040319
"(1, 2, 1)","(2, 2, 1, 36)",996.7987220376633
"(0, 1, 1)","(1, 2, 2, 36)",997.294718898431
"(2, 2, 1)","(0, 2, 2, 36)",997.910734440179
"(2, 2, 1)","(1, 2, 1, 36)",997.9605807267016
"(2, 2, 1)","(2, 2, 1, 36)",998.0029347797853
"(0, 2, 2)","(2, 2, 2, 36)",998.3276658597922
"(1, 2, 1)","(2, 2, 2, 36)",998.7560600659369
"(2, 2, 0)","(2, 2, 0, 36)",998.926851690849
"(1, 1, 0)","(0, 2, 1, 36)",999.3146617721025
"(2, 2, 0)","(0, 2, 1, 36)",999.3782293920004
"(0, 1, 2)","(0, 2, 1, 36)",999.6865074109933
"(2, 2, 1)","(2, 2, 2, 36)",999.954612125373
"(2, 1, 1)","(0, 2, 2, 36)",1000.0178280419674
"(1, 2, 0)","(0, 2, 1, 36)",1000.1732896240878
"(0, 1, 1)","(0, 2, 2, 36)",1000.1998795520074
"(1, 1, 1)","(1, 2, 1, 36)",1000.2769207507711
"(0, 1, 1)","(1, 2, 1, 36)",1000.2792143284197
"(2, 1, 1)","(2, 2, 0, 36)",1000.3624367296129
"(2, 1, 2)","(0, 2, 1, 36)",1000.383186223665
"(2, 2, 0)","(2, 2, 1, 36)",1000.4058619739945
"(0, 1, 1)","(2, 2, 0, 36)",1000.6381497303546
"(2, 1, 0)","(0, 2, 1, 36)",1000.98010010736
"(1, 1, 0)","(2, 2, 0, 36)",1001.1138086897954
"(1, 1, 0)","(0, 2, 2, 36)",1001.1195930500737
"(1, 1, 0)","(1, 2, 1, 36)",1001.1882205033545
"(0, 1, 2)","(0, 2, 2, 36)",1001.3203228216819
"(2, 2, 0)","(0, 2, 2, 36)",1001.336217819231
"(2, 2, 0)","(1, 2, 1, 36)",1001.3547387804892
"(1, 2, 0)","(0, 2, 2, 36)",1001.3716884903164
