pdq,Spdq,aic
"(0, 2, 0)","(2, 2, 0, 32)",1316.9372435024356
"(0, 2, 0)","(0, 2, 2, 32)",1316.9779473841102
"(0, 2, 0)","(2, 2, 1, 32)",1318.294265044712
"(0, 2, 0)","(1, 2, 2, 32)",1318.8527307204417
"(0, 2, 0)","(1, 2, 1, 32)",1319.1628400428197
"(1, 2, 0)","(2, 2, 0, 32)",1319.471466878627
"(0, 2, 0)","(2, 2, 2, 32)",1319.7126004006118
"(1, 2, 0)","(0, 2, 2, 32)",1320.7487303918515
"(0, 2, 0)","(0, 2, 1, 32)",1321.1780809271645
"(0, 2, 1)","(2, 2, 0, 32)",1321.3374687860794
"(1, 2, 0)","(2, 2, 1, 32)",1321.4300248638995
"(1, 2, 1)","(2, 2, 0, 32)",1321.508134444587
"(2, 2, 0)","(2, 2, 0, 32)",1321.6623916233445
"(1, 2, 0)","(1, 2, 1, 32)",1322.3087648129263
"(1, 2, 0)","(1, 2, 2, 32)",1322.6181206276053
"(0, 2, 1)","(0, 2, 2, 32)",1322.6447110862723
"(2, 2, 0)","(0, 2, 2, 32)",1323.0134187844562
"(0, 2, 1)","(2, 2, 1, 32)",1323.3014460381048
"(1, 2, 0)","(2, 2, 2, 32)",1323.4295622030293
"(1, 2, 1)","(2, 2, 1, 32)",1323.4829149807697
"(2, 2, 0)","(2, 2, 1, 32)",1323.6254103817805
"(0, 2, 1)","(1, 2, 1, 32)",1324.150623598277
"(1, 2, 0)","(0, 2, 1, 32)",1324.1757378576183
"(1, 2, 1)","(0, 2, 2, 32)",1324.3653861613168
"(2, 1, 1)","(2, 2, 0, 32)",1324.4152248723367
"(0, 2, 1)","(1, 2, 2, 32)",1324.5101679053755
"(2, 2, 0)","(1, 2, 1, 32)",1324.542488029933
"(2, 2, 1)","(2, 2, 0, 32)",1324.7258981471427
"(1, 2, 2)","(2, 2, 0, 32)",1324.8072591958614
"(2, 2, 0)","(1, 2, 2, 32)",1324.834878137118
"(2, 1, 1)","(0, 2, 1, 32)",1325.2608937393297
"(0, 2, 1)","(2, 2, 2, 32)",1325.3011053920236
"(1, 2, 1)","(2, 2, 2, 32)",1325.4826658774825
"(0, 2, 2)","(2, 2, 0, 32)",1325.5739920584494
