pdq,Spdq,aic
"(2, 2, 1)","(1, 0, 1, 24)",12.0
"(0, 2, 2)","(0, 2, 1, 24)",1458.7302784285155
"(0, 2, 2)","(0, 2, 2, 24)",1458.7525206503374
"(1, 2, 1)","(1, 2, 1, 24)",1460.6319242184643
"(1, 2, 1)","(0, 2, 1, 24)",1460.7131100957386
"(0, 2, 2)","(1, 2, 2, 24)",1461.4882411460478
"(1, 2, 1)","(2, 2, 1, 24)",1462.0262004859621
"(2, 2, 1)","(0, 2, 1, 24)",1462.2292664342026
"(2, 2, 1)","(0, 2, 2, 24)",1463.005214026593
"(1, 2, 1)","(1, 2, 2, 24)",1464.7640707348276
"(2, 2, 1)","(2, 2, 1, 24)",1465.0166815236337
"(2, 2, 2)","(1, 2, 0, 24)",1465.9356352219002
"(2, 2, 1)","(1, 2, 2, 24)",1465.994421907159
"(2, 2, 2)","(0, 2, 1, 24)",1466.1502253369538
"(0, 2, 2)","(2, 2, 1, 24)",1466.2009900122307
"(2, 2, 2)","(1, 2, 1, 24)",1466.231217878676
"(1, 2, 2)","(1, 2, 0, 24)",1466.4957851445927
"(1, 2, 2)","(0, 2, 1, 24)",1466.4982103334785
"(2, 2, 2)","(0, 2, 2, 24)",1466.582021640925
"(2, 2, 2)","(2, 2, 0, 24)",1467.712425954535
"(0, 2, 1)","(1, 2, 1, 24)",1467.8007044120081
"(1, 2, 2)","(1, 2, 1, 24)",1467.918593261264
"(2, 2, 0)","(1, 2, 1, 24)",1468.1339872190451
"(2, 2, 2)","(1, 2, 2, 24)",1468.1924092646505
"(2, 2, 2)","(2, 2, 1, 24)",1468.2003513422271
"(1, 2, 2)","(0, 2, 2, 24)",1468.2038242502579
"(0, 2, 1)","(0, 2, 2, 24)",1468.3038604499084
"(0, 2, 1)","(2, 2, 1, 24)",1468.408751079739
"(0, 2, 1)","(1, 2, 2, 24)",1468.4312971570314
"(1, 2, 1)","(1, 2, 0, 24)",1468.4667560886755
"(2, 1, 0)","(0, 2, 1, 24)",1468.7496940973836
"(1, 2, 2)","(2, 2, 0, 24)",1468.8620681553662
"(2, 2, 0)","(2, 2, 1, 24)",1469.5045984295157
"(0, 2, 1)","(0, 2, 1, 24)",1469.7799463056085
"(1, 2, 2)","(2, 2, 1, 24)",1469.8605100658924
"(0, 1, 2)","(0, 2, 1, 24)",1469.8825833192473
"(1, 2, 2)","(1, 2, 2, 24)",1469.8991522810838
"(2, 2, 2)","(2, 2, 2, 24)",1470.0332024632335
"(1, 1, 2)","(0, 2, 1, 24)",1471.2610679974584
"(0, 2, 1)","(2, 2, 0, 24)",1471.3277514906308
"(1, 1, 1)","(0, 2, 1, 24)",1471.3886002746012
"(0, 1, 2)","(1, 2, 1, 24)",1471.6775299783326
"(0, 1, 2)","(0, 2, 2, 24)",1471.7111815936935
"(1, 2, 2)","(2, 2, 2, 24)",1471.771360558342
"(1, 1, 0)","(0, 2, 1, 24)",1472.1365953203908
"(0, 2, 2)","(1, 2, 0, 24)",1472.2620231941526
"(0, 1, 1)","(0, 2, 1, 24)",1472.7125619476942
"(1, 1, 2)","(1, 2, 1, 24)",1473.0460809425215
"(1, 1, 2)","(0, 2, 2, 24)",1473.084287170781
"(2, 1, 2)","(0, 2, 1, 24)",1473.1569516775526
"(0, 1, 2)","(2, 2, 1, 24)",1473.201464281789
"(1, 1, 1)","(1, 2, 1, 24)",1473.2142623030993
"(0, 1, 2)","(1, 2, 2, 24)",1473.218617015442
"(1, 1, 1)","(0, 2, 2, 24)",1473.2423798991158
"(2, 1, 1)","(0, 2, 1, 24)",1473.272586864721
"(0, 1, 2)","(2, 2, 0, 24)",1473.4502899644378
"(0, 2, 2)","(2, 2, 0, 24)",1473.520687278565
"(0, 2, 2)","(1, 2, 1, 24)",1473.5867161255524
"(1, 1, 0)","(1, 2, 1, 24)",1474.103892544001
"(1, 1, 0)","(0, 2, 2, 24)",1474.1088365936575
"(2, 1, 0)","(1, 2, 1, 24)",1474.1516386662126
"(2, 1, 0)","(0, 2, 2, 24)",1474.174096510519
"(0, 1, 1)","(1, 2, 1, 24)",1474.3437018624213
"(0, 1, 1)","(0, 2, 2, 24)",1474.3826603393836
"(1, 1, 2)","(2, 2, 1, 24)",1474.4563507950188
"(1, 1, 2)","(1, 2, 2, 24)",1474.506758846047
"(0, 2, 1)","(2, 2, 2, 24)",1474.6896453625932
"(1, 1, 1)","(2, 2, 1, 24)",1474.8576771667515
"(1, 1, 1)","(1, 2, 2, 24)",1474.8896440919602
"(2, 1, 2)","(1, 2, 1, 24)",1474.9640438297233
"(1, 1, 1)","(2, 2, 0, 24)",1474.9727742124885
"(1, 1, 2)","(2, 2, 0, 24)",1474.9821502260963
"(2, 1, 2)","(0, 2, 2, 24)",1474.9988375518396
"(0, 1, 2)","(2, 2, 2, 24)",1475.1310397794382
"(2, 1, 1)","(1, 2, 1, 24)",1475.144332887184
"(2, 1, 1)","(0, 2, 2, 24)",1475.1639245893607
"(2, 2, 1)","(1, 2, 1, 24)",1475.2483823001644
"(1, 2, 1)","(0, 2, 2, 24)",1475.4269188513563
"(1, 1, 0)","(2, 2, 1, 24)",1475.8464978738168
"(2, 1, 0)","(2, 2, 1, 24)",1475.859143616604
"(1, 2, 1)","(2, 2, 0, 24)",1475.8741124986714
"(2, 1, 0)","(2, 2, 0, 24)",1475.879282688248
