pdq,Spdq,aic
"(2, 2, 2)","(1, 1, 2, 24)",16.0
"(2, 0, 1)","(2, 0, 0, 24)",750.9264824677899
"(0, 2, 2)","(0, 2, 2, 24)",1414.878292573891
"(0, 2, 2)","(1, 2, 1, 24)",1414.9844652124589
"(0, 2, 2)","(2, 2, 1, 24)",1416.8953729899479
"(1, 2, 2)","(1, 2, 1, 24)",1416.963606674483
"(0, 2, 2)","(1, 2, 2, 24)",1417.2419953157882
"(0, 2, 2)","(0, 2, 1, 24)",1417.7491784929134
"(2, 2, 1)","(0, 2, 2, 24)",1418.07462936565
"(2, 2, 1)","(1, 2, 1, 24)",1418.1218676187177
"(1, 2, 2)","(1, 2, 2, 24)",1418.8549844648335
"(2, 2, 2)","(1, 2, 1, 24)",1418.907763991934
"(1, 2, 2)","(2, 2, 1, 24)",1418.958103504231
"(2, 2, 2)","(0, 2, 2, 24)",1419.0357445145496
"(1, 2, 2)","(0, 2, 1, 24)",1419.3413025283232
"(1, 2, 1)","(1, 2, 1, 24)",1419.7231314340997
"(2, 2, 1)","(0, 2, 1, 24)",1419.9224220708422
"(1, 2, 1)","(0, 2, 2, 24)",1419.945169870738
"(2, 2, 2)","(0, 2, 1, 24)",1420.4739951115348
"(0, 1, 2)","(0, 2, 1, 24)",1421.2429998279886
"(0, 1, 1)","(0, 2, 1, 24)",1422.1161031944437
"(2, 1, 2)","(0, 2, 1, 24)",1422.1897950105947
"(1, 2, 1)","(0, 2, 1, 24)",1422.2278838303976
"(1, 1, 2)","(0, 2, 2, 24)",1422.4022547872598
"(2, 1, 0)","(0, 2, 1, 24)",1422.5444262288943
"(1, 2, 1)","(1, 2, 2, 24)",1422.8773885888127
"(2, 2, 1)","(1, 2, 2, 24)",1423.0875241659992
"(0, 1, 2)","(0, 2, 2, 24)",1423.1794271017764
"(0, 1, 2)","(1, 2, 1, 24)",1423.1819177251584
"(2, 2, 2)","(1, 2, 2, 24)",1423.1928520623685
"(0, 1, 1)","(1, 2, 1, 24)",1423.9848223360823
"(2, 1, 2)","(1, 2, 1, 24)",1424.0750047245294
"(1, 1, 2)","(0, 2, 1, 24)",1424.7019332258133
"(2, 1, 1)","(0, 2, 1, 24)",1424.7027899279628
"(1, 1, 1)","(1, 2, 2, 24)",1425.865779715157
"(0, 1, 1)","(1, 2, 2, 24)",1426.0489445112323
"(2, 1, 1)","(1, 2, 1, 24)",1426.666877252081
"(1, 1, 0)","(0, 2, 1, 24)",1427.3844385578777
"(2, 1, 0)","(1, 2, 2, 24)",1427.6639122348804
"(2, 2, 2)","(2, 2, 1, 24)",1429.1451959218505
"(1, 1, 0)","(1, 2, 1, 24)",1429.3002625569418
"(1, 1, 0)","(0, 2, 2, 24)",1429.4124100344284
"(2, 2, 2)","(2, 2, 2, 24)",1430.8172116849155
"(1, 1, 0)","(1, 2, 2, 24)",1431.418813725127
"(0, 1, 2)","(1, 2, 2, 24)",1431.6527591993322
"(1, 1, 2)","(2, 2, 0, 24)",1431.7337648956125
"(1, 1, 1)","(0, 2, 1, 24)",1432.2748202184391
"(2, 1, 2)","(0, 2, 2, 24)",1432.9312408057797
"(0, 1, 1)","(0, 2, 2, 24)",1434.0145933447156
"(2, 1, 2)","(1, 2, 2, 24)",1434.0238815830726
"(1, 1, 2)","(1, 2, 1, 24)",1434.2432539493764
