pdq,Spdq,aic
"(1, 0, 2)","(2, 0, 0, 24)",12.0
"(2, 2, 2)","(0, 2, 1, 24)",1476.0320274728035
"(1, 2, 2)","(0, 2, 1, 24)",1476.9724110655657
"(2, 2, 2)","(2, 2, 1, 24)",1478.3557890660377
"(1, 2, 2)","(1, 2, 1, 24)",1478.9063839649211
"(1, 2, 2)","(0, 2, 2, 24)",1478.920026490407
"(1, 2, 2)","(2, 2, 1, 24)",1479.024930730476
"(2, 2, 2)","(1, 2, 2, 24)",1479.2167113975368
"(0, 2, 2)","(0, 2, 1, 24)",1480.1449430806
"(1, 2, 2)","(1, 2, 2, 24)",1480.3462847980113
"(1, 2, 2)","(2, 2, 2, 24)",1481.1718823770882
"(2, 2, 2)","(2, 2, 2, 24)",1481.2380693020689
"(0, 2, 2)","(2, 2, 1, 24)",1482.3169065584352
"(0, 2, 1)","(0, 2, 1, 24)",1483.006667099931
"(0, 2, 2)","(1, 2, 1, 24)",1484.0625313510945
"(0, 2, 2)","(2, 2, 2, 24)",1484.1948814662453
"(0, 2, 2)","(0, 2, 2, 24)",1484.4136637549605
"(0, 2, 2)","(1, 2, 2, 24)",1485.1521446302477
"(2, 2, 2)","(1, 2, 1, 24)",1486.6828163242965
"(2, 2, 2)","(0, 2, 2, 24)",1487.1669233108255
"(2, 1, 2)","(2, 2, 1, 24)",1487.9078978189614
"(2, 1, 2)","(1, 2, 2, 24)",1488.0903954964624
"(0, 1, 0)","(1, 2, 1, 24)",1488.1751456271788
"(2, 1, 2)","(1, 2, 0, 24)",1488.9847180010743
"(1, 2, 1)","(0, 2, 1, 24)",1489.0786109287455
"(2, 2, 1)","(0, 2, 1, 24)",1489.2219804884708
"(0, 1, 1)","(1, 2, 1, 24)",1489.3164611383102
"(1, 2, 2)","(2, 2, 0, 24)",1489.5667738171019
"(2, 1, 2)","(1, 2, 1, 24)",1489.5981811538156
"(2, 1, 2)","(2, 2, 2, 24)",1489.6302872639008
