pdq,Spdq,aic
"(0, 2, 2)","(0, 2, 1, 24)",1444.676268836413
"(2, 2, 2)","(0, 2, 1, 24)",1445.4526249555583
"(1, 2, 1)","(0, 2, 1, 24)",1445.5534317391957
"(2, 2, 1)","(0, 2, 1, 24)",1446.1245956444898
"(1, 2, 2)","(0, 2, 1, 24)",1446.4533059384019
"(1, 2, 1)","(1, 2, 1, 24)",1446.725653970271
"(1, 2, 1)","(0, 2, 2, 24)",1446.839267417802
"(2, 2, 2)","(0, 2, 2, 24)",1446.8839130323315
"(1, 2, 1)","(1, 2, 2, 24)",1449.5533742054538
"(2, 2, 2)","(1, 2, 2, 24)",1451.2885986159602
"(2, 2, 0)","(0, 2, 1, 24)",1454.9347482719174
"(2, 2, 2)","(2, 2, 1, 24)",1456.1678252293543
"(2, 2, 2)","(1, 2, 1, 24)",1457.2729242690107
"(0, 2, 1)","(1, 2, 2, 24)",1459.445303706741
"(0, 2, 1)","(0, 2, 1, 24)",1459.6366200742011
"(2, 1, 1)","(0, 2, 1, 24)",1460.413354561739
"(0, 2, 1)","(0, 2, 2, 24)",1460.6575907905658
"(2, 2, 2)","(2, 2, 2, 24)",1461.072249000926
"(2, 1, 1)","(0, 2, 2, 24)",1461.591616415554
"(1, 2, 2)","(1, 2, 1, 24)",1462.624633448241
"(1, 2, 2)","(0, 2, 2, 24)",1462.632529420035
"(0, 2, 2)","(2, 2, 2, 24)",1463.1798904866964
"(0, 1, 2)","(0, 2, 1, 24)",1463.3882045030268
"(2, 1, 2)","(0, 2, 1, 24)",1463.9644291728741
"(2, 2, 1)","(1, 2, 1, 24)",1464.3605842768823
"(2, 2, 1)","(0, 2, 2, 24)",1464.3633602265018
"(1, 2, 2)","(2, 2, 1, 24)",1464.5116241679568
"(1, 2, 2)","(1, 2, 2, 24)",1464.55797199613
"(0, 1, 2)","(1, 2, 2, 24)",1464.6548774083767
"(0, 2, 2)","(1, 2, 1, 24)",1464.8472684503138
"(0, 2, 2)","(0, 2, 2, 24)",1464.8511125512523
"(1, 1, 1)","(1, 2, 2, 24)",1465.0587067629883
"(0, 1, 2)","(1, 2, 1, 24)",1465.2209418181897
"(0, 1, 2)","(0, 2, 2, 24)",1465.2457777663494
"(1, 1, 2)","(0, 2, 1, 24)",1465.4900465215796
"(2, 1, 2)","(1, 2, 1, 24)",1465.592442695703
"(2, 1, 2)","(0, 2, 2, 24)",1465.6393477707861
"(0, 1, 1)","(0, 2, 1, 24)",1465.7890152198331
"(2, 2, 1)","(2, 2, 1, 24)",1466.266675228905
"(2, 2, 1)","(1, 2, 2, 24)",1466.3133259208164
"(1, 2, 2)","(2, 2, 2, 24)",1466.5072290451637
"(1, 1, 2)","(1, 2, 1, 24)",1466.5663961181533
"(1, 1, 1)","(0, 2, 1, 24)",1466.6014616252228
"(1, 1, 2)","(0, 2, 2, 24)",1466.633178952058
"(0, 1, 2)","(2, 2, 1, 24)",1466.815412695764
"(0, 2, 2)","(2, 2, 1, 24)",1466.8155084887962
"(0, 2, 2)","(1, 2, 2, 24)",1466.822659254122
"(0, 1, 0)","(0, 2, 1, 24)",1466.8695749088931
"(2, 1, 0)","(0, 2, 1, 24)",1467.2649929483061
"(2, 1, 2)","(2, 2, 1, 24)",1467.278498944497
"(0, 1, 1)","(1, 2, 1, 24)",1467.3140357903928
"(0, 1, 1)","(0, 2, 2, 24)",1467.3437727104604
"(2, 1, 2)","(1, 2, 2, 24)",1467.3824825363845
"(2, 1, 1)","(1, 2, 1, 24)",1467.5401555060193
"(1, 1, 0)","(0, 2, 1, 24)",1467.9664456071287
"(2, 2, 1)","(2, 2, 2, 24)",1468.2610291805759
"(1, 1, 1)","(1, 2, 1, 24)",1468.362795652269
"(1, 1, 1)","(0, 2, 2, 24)",1468.387103402081
"(1, 1, 2)","(1, 2, 2, 24)",1468.4673842617638
"(1, 1, 2)","(2, 2, 1, 24)",1468.4679599283986
"(0, 1, 2)","(2, 2, 2, 24)",1468.8151123957805
"(0, 1, 0)","(0, 2, 2, 24)",1468.8450235107978
"(2, 1, 0)","(1, 2, 1, 24)",1468.8892530318212
"(2, 1, 0)","(0, 2, 2, 24)",1468.9221157863312
"(0, 1, 1)","(2, 2, 1, 24)",1469.2421719516515
"(0, 1, 1)","(1, 2, 2, 24)",1469.2489673792275
"(2, 1, 2)","(2, 2, 2, 24)",1469.2784198962395
"(2, 1, 1)","(2, 2, 1, 24)",1469.3874580776303
"(2, 1, 1)","(1, 2, 2, 24)",1469.4320162510398
"(1, 1, 0)","(1, 2, 1, 24)",1469.900429337596
"(1, 1, 0)","(0, 2, 2, 24)",1469.906453612743
"(1, 1, 1)","(2, 2, 1, 24)",1470.1660319881928
"(1, 1, 2)","(2, 2, 2, 24)",1470.4624546741186
"(2, 1, 0)","(2, 2, 1, 24)",1470.7520573807205
"(2, 1, 0)","(1, 2, 2, 24)",1470.7872189812135
"(0, 1, 0)","(1, 2, 2, 24)",1470.8521517302106
"(1, 2, 1)","(2, 2, 1, 24)",1471.2180194211073
"(0, 1, 1)","(2, 2, 2, 24)",1471.2397398269354
"(2, 1, 1)","(2, 2, 2, 24)",1471.38688480534
"(2, 2, 0)","(1, 2, 1, 24)",1471.7264186885388
"(1, 1, 0)","(2, 2, 1, 24)",1471.739210771239
"(2, 2, 0)","(0, 2, 2, 24)",1471.74344077623
"(1, 1, 0)","(1, 2, 2, 24)",1471.82154248603
"(1, 1, 1)","(2, 2, 2, 24)",1472.165486987589
"(2, 1, 0)","(2, 2, 2, 24)",1472.7513450553736
"(1, 2, 1)","(2, 2, 2, 24)",1473.2151998283155
"(2, 2, 0)","(2, 2, 1, 24)",1473.454344235319
"(2, 2, 0)","(1, 2, 2, 24)",1473.5849921327876
"(1, 1, 0)","(2, 2, 2, 24)",1473.7385272633246
"(2, 2, 2)","(2, 2, 0, 24)",1473.966932785032
"(1, 2, 0)","(0, 2, 1, 24)",1474.6067629237687
"(2, 2, 0)","(2, 2, 2, 24)",1475.4478877195613
"(1, 2, 2)","(2, 2, 0, 24)",1475.6867395755587
"(0, 2, 2)","(2, 2, 0, 24)",1476.1571459457496
"(2, 2, 1)","(2, 2, 0, 24)",1476.5394444219469
"(2, 0, 1)","(0, 2, 2, 24)",1478.914267248976
"(1, 2, 1)","(2, 2, 0, 24)",1479.0981160095498
"(1, 0, 1)","(0, 2, 2, 24)",1479.4711309981635
"(0, 1, 1)","(2, 2, 0, 24)",1480.7450689985392
"(1, 0, 1)","(1, 2, 2, 24)",1481.209856563151
"(1, 0, 1)","(2, 2, 1, 24)",1481.3197593418327
"(1, 0, 1)","(1, 2, 1, 24)",1481.566678252412
"(0, 1, 2)","(2, 2, 0, 24)",1481.6516070575449
"(1, 0, 2)","(2, 2, 0, 24)",1481.7854696149852
"(2, 1, 1)","(2, 2, 0, 24)",1482.3260956117397
"(2, 1, 0)","(2, 2, 0, 24)",1482.3900929633216
"(1, 1, 1)","(2, 2, 0, 24)",1482.4593118976807
"(1, 1, 0)","(2, 2, 0, 24)",1482.5828735919008
"(2, 1, 2)","(1, 2, 0, 24)",1482.683783475223
"(0, 2, 1)","(1, 2, 1, 24)",1482.7992083373379
"(2, 0, 1)","(1, 2, 1, 24)",1483.1210947529346
"(2, 1, 2)","(2, 2, 0, 24)",1483.4062212087572
"(1, 1, 2)","(2, 2, 0, 24)",1483.429804116037
"(2, 0, 0)","(2, 2, 1, 24)",1483.4530893983465
"(2, 0, 2)","(2, 2, 1, 24)",1484.1482817777494
"(2, 0, 1)","(2, 2, 1, 24)",1484.1943254476962
"(0, 2, 1)","(2, 2, 1, 24)",1484.6803732419419
"(1, 0, 1)","(2, 2, 2, 24)",1484.899548570517
"(2, 2, 0)","(2, 2, 0, 24)",1485.460585820317
"(0, 1, 0)","(2, 2, 2, 24)",1486.376501704835
"(0, 2, 1)","(2, 2, 2, 24)",1486.4258022597585
"(1, 0, 0)","(1, 2, 1, 24)",1487.3692716926832
"(1, 0, 0)","(0, 2, 2, 24)",1488.1463604032674
"(0, 0, 1)","(1, 2, 1, 24)",1488.2084942111399
"(0, 0, 1)","(2, 2, 0, 24)",1488.2767294379903
"(0, 0, 1)","(0, 2, 2, 24)",1488.401513934676
"(0, 0, 2)","(1, 2, 1, 24)",1489.1125905350334
"(0, 0, 2)","(2, 2, 0, 24)",1489.36647975813
"(0, 0, 2)","(0, 2, 2, 24)",1489.5095130425527
"(2, 0, 2)","(1, 2, 1, 24)",1489.513853182903
"(0, 2, 1)","(2, 2, 0, 24)",1489.565278737468
"(0, 2, 2)","(1, 2, 0, 24)",1489.581568231186
"(2, 0, 0)","(1, 2, 1, 24)",1489.5951398195257
"(2, 0, 0)","(0, 2, 2, 24)",1489.6426139856242
"(1, 2, 1)","(1, 2, 0, 24)",1489.656104253248
"(0, 0, 0)","(0, 2, 2, 24)",1489.8402875350755
"(1, 0, 0)","(2, 2, 1, 24)",1489.876825939649
"(1, 0, 0)","(1, 2, 2, 24)",1489.893556242077
"(2, 2, 1)","(1, 2, 0, 24)",1490.0572369554502
"(1, 2, 2)","(1, 2, 0, 24)",1490.1141111553318
"(0, 0, 1)","(2, 2, 1, 24)",1490.1186064381527
"(0, 0, 1)","(1, 2, 2, 24)",1490.1359263117417
"(0, 0, 0)","(1, 2, 1, 24)",1490.3171754431494
"(2, 0, 1)","(2, 2, 2, 24)",1490.3353161608375
"(1, 0, 2)","(1, 2, 1, 24)",1490.4159565675473
"(1, 0, 1)","(0, 2, 1, 24)",1490.5044409250795
"(2, 0, 1)","(0, 2, 1, 24)",1490.6640555620522
"(1, 0, 0)","(0, 2, 0, 24)",1490.7646915625303
"(1, 0, 0)","(0, 2, 1, 24)",1490.7766665641536
"(0, 0, 1)","(0, 2, 0, 24)",1490.894438357633
"(1, 0, 0)","(1, 2, 0, 24)",1490.906108391711
"(1, 0, 2)","(0, 2, 2, 24)",1490.9542926051995
"(0, 0, 1)","(0, 2, 1, 24)",1491.1560298357879
"(0, 0, 2)","(2, 2, 1, 24)",1491.2214988706921
"(0, 0, 2)","(1, 2, 2, 24)",1491.242599838561
"(0, 0, 1)","(1, 2, 0, 24)",1491.2656838958235
"(2, 0, 0)","(1, 2, 2, 24)",1491.4171138398347
"(0, 0, 0)","(1, 2, 2, 24)",1491.5200220618876
"(1, 0, 0)","(2, 2, 2, 24)",1491.851047842739
