pdq,Spdq,aic
"(2, 0, 1)","(1, 0, 0, 24)",10.0
"(2, 1, 2)","(1, 2, 1, 24)",1459.368774478762
"(2, 1, 2)","(0, 2, 2, 24)",1460.3452298591121
"(0, 2, 1)","(0, 2, 1, 24)",1460.8835561858698
"(2, 1, 2)","(1, 2, 2, 24)",1461.5573338896836
"(2, 1, 2)","(2, 2, 1, 24)",1461.6727189754633
"(2, 1, 2)","(2, 2, 2, 24)",1462.5579844492947
"(2, 2, 2)","(0, 2, 1, 24)",1463.03987030478
"(0, 2, 2)","(0, 2, 1, 24)",1463.9041532451101
"(0, 1, 0)","(1, 2, 1, 24)",1464.2416044484128
"(1, 2, 2)","(0, 2, 1, 24)",1464.344262385656
"(2, 2, 1)","(0, 2, 1, 24)",1464.595971744201
"(0, 1, 1)","(1, 2, 1, 24)",1464.70840616743
"(0, 1, 2)","(1, 2, 1, 24)",1465.1573807236932
"(0, 2, 2)","(1, 2, 1, 24)",1465.4634013026905
"(0, 2, 2)","(0, 2, 2, 24)",1465.5024000999101
"(1, 1, 0)","(1, 2, 1, 24)",1465.585255836013
"(1, 2, 2)","(1, 2, 1, 24)",1466.0984731128062
"(1, 2, 2)","(0, 2, 2, 24)",1466.1278440476187
"(0, 1, 1)","(0, 2, 2, 24)",1466.20795494537
"(2, 2, 2)","(2, 2, 1, 24)",1466.2606915062534
"(2, 1, 0)","(1, 2, 1, 24)",1466.3207168688782
"(0, 1, 1)","(1, 2, 2, 24)",1466.4992843718744
"(1, 1, 2)","(1, 2, 1, 24)",1466.5072279070725
"(0, 1, 1)","(2, 2, 1, 24)",1466.5159306062671
"(2, 2, 1)","(1, 2, 1, 24)",1466.588089645032
"(2, 2, 1)","(0, 2, 2, 24)",1466.5891031562996
"(1, 1, 1)","(1, 2, 1, 24)",1466.5957696485434
"(2, 2, 2)","(1, 2, 1, 24)",1466.6078046476957
"(2, 2, 2)","(0, 2, 2, 24)",1466.6929300657976
"(0, 1, 2)","(1, 2, 2, 24)",1466.729003044171
"(0, 1, 2)","(2, 2, 1, 24)",1466.759087741111
"(1, 1, 0)","(0, 2, 2, 24)",1466.8420365121385
"(0, 2, 2)","(1, 2, 2, 24)",1467.0316573215473
"(2, 1, 1)","(1, 2, 1, 24)",1467.1368411439455
"(1, 2, 1)","(0, 2, 1, 24)",1467.2140067373205
"(0, 2, 2)","(2, 2, 1, 24)",1467.2787074848948
