pdq,Spdq,aic
"(0, 0, 0)","(2, 0, 0, 60)",6.0
"(0, 2, 0)","(0, 2, 0, 60)",20.771750142673334
"(0, 1, 2)","(0, 2, 0, 60)",33.388807126808906
"(0, 1, 2)","(1, 2, 0, 60)",35.342727329394876
"(0, 1, 1)","(0, 2, 0, 60)",35.779004113016
"(1, 1, 0)","(0, 2, 0, 60)",35.918104122036695
"(2, 1, 0)","(1, 2, 1, 60)",37.09121355876669
"(0, 1, 1)","(0, 2, 1, 60)",37.117407586246685
"(0, 1, 1)","(1, 2, 0, 60)",37.11768960240904
"(1, 1, 1)","(0, 2, 0, 60)",37.118549787860296
"(1, 1, 0)","(2, 2, 0, 60)",37.30341497372251
"(0, 1, 2)","(1, 2, 1, 60)",37.401446203137425
"(1, 1, 0)","(0, 2, 2, 60)",37.84270479498444
"(1, 1, 0)","(0, 2, 1, 60)",37.91800185627977
"(1, 1, 0)","(1, 2, 0, 60)",37.9180018919375
"(2, 1, 0)","(0, 2, 0, 60)",37.918101484729334
"(0, 1, 0)","(0, 2, 1, 60)",37.943694944621555
"(0, 1, 0)","(1, 2, 0, 60)",37.9469999055421
"(0, 1, 2)","(0, 2, 2, 60)",38.083989792582926
"(0, 1, 2)","(0, 2, 1, 60)",38.55097824579096
"(1, 1, 2)","(0, 2, 0, 60)",38.556801683325205
"(0, 1, 0)","(0, 2, 0, 60)",39.07247603762651
"(0, 1, 0)","(2, 2, 0, 60)",39.10947956477973
"(1, 1, 1)","(0, 2, 1, 60)",39.11460941376542
"(1, 1, 1)","(1, 2, 0, 60)",39.11469277009088
"(0, 1, 1)","(2, 2, 0, 60)",39.11737199919933
"(0, 1, 1)","(0, 2, 2, 60)",39.11738397216661
"(0, 1, 1)","(1, 2, 1, 60)",39.117502935050865
"(2, 1, 1)","(0, 2, 0, 60)",39.11855266962577
"(0, 1, 0)","(0, 2, 2, 60)",39.5067942696633
"(0, 1, 0)","(1, 2, 1, 60)",39.64558041041754
"(1, 1, 1)","(1, 2, 2, 60)",39.845059324220585
"(2, 1, 0)","(0, 2, 1, 60)",39.91579714661691
"(2, 1, 0)","(1, 2, 0, 60)",39.91583927135794
"(1, 1, 0)","(1, 2, 1, 60)",39.91800233338229
"(1, 1, 1)","(2, 2, 1, 60)",40.02447929709119
"(0, 1, 2)","(2, 2, 0, 60)",40.550892281061856
"(1, 1, 2)","(0, 2, 1, 60)",40.55093841336469
"(1, 1, 2)","(1, 2, 0, 60)",40.55105359790795
"(2, 1, 2)","(0, 2, 0, 60)",40.5564399145539
"(0, 1, 0)","(2, 2, 1, 60)",40.74265378696187
"(1, 1, 1)","(2, 2, 0, 60)",41.11452842820309
"(1, 1, 1)","(0, 2, 2, 60)",41.11453254093982
"(2, 1, 1)","(0, 2, 1, 60)",41.11458187607637
"(2, 1, 1)","(1, 2, 0, 60)",41.11465839054602
"(1, 1, 1)","(1, 2, 1, 60)",41.11466883761787
"(0, 1, 1)","(2, 2, 1, 60)",41.11737365716219
"(0, 1, 1)","(1, 2, 2, 60)",41.117400959232405
"(0, 1, 0)","(1, 2, 2, 60)",41.32355526127898
"(1, 1, 1)","(2, 2, 2, 60)",41.85906895067631
"(2, 1, 0)","(2, 2, 0, 60)",41.915737966715454
"(2, 1, 0)","(0, 2, 2, 60)",41.915746188617184
"(1, 1, 0)","(2, 2, 1, 60)",41.917932596264656
"(1, 1, 0)","(1, 2, 2, 60)",41.917933306228406
"(2, 1, 1)","(2, 2, 0, 60)",42.3076306087529
"(0, 1, 0)","(2, 2, 2, 60)",42.53321684421567
"(1, 1, 2)","(0, 2, 2, 60)",42.550853700666664
"(1, 1, 2)","(2, 2, 0, 60)",42.550853907580056
"(0, 1, 2)","(2, 2, 1, 60)",42.55088569159952
"(0, 1, 2)","(1, 2, 2, 60)",42.55089599855998
"(2, 1, 2)","(0, 2, 1, 60)",42.55094618436185
"(1, 1, 2)","(1, 2, 1, 60)",42.550992375531564
"(2, 1, 2)","(1, 2, 0, 60)",42.55106752708596
"(2, 1, 1)","(0, 2, 2, 60)",43.11451111649817
"(2, 1, 1)","(1, 2, 1, 60)",43.114617778417795
"(0, 1, 1)","(2, 2, 2, 60)",43.11738376981015
"(2, 1, 0)","(1, 2, 2, 60)",43.91574563690621
"(2, 1, 0)","(2, 2, 1, 60)",43.915745773122296
"(1, 1, 0)","(2, 2, 2, 60)",43.91793566120171
"(1, 1, 2)","(2, 2, 1, 60)",44.52774687489946
"(2, 1, 2)","(2, 2, 0, 60)",44.54952888473265
"(1, 1, 2)","(1, 2, 2, 60)",44.55086228048622
"(2, 1, 2)","(0, 2, 2, 60)",44.55086719292187
"(0, 1, 2)","(2, 2, 2, 60)",44.55090244074631
"(2, 1, 2)","(1, 2, 1, 60)",44.551007581468255
"(2, 1, 1)","(2, 2, 1, 60)",45.114513490870394
"(2, 1, 1)","(1, 2, 2, 60)",45.114515679870195
"(2, 1, 0)","(2, 2, 2, 60)",45.91575083180733
"(2, 1, 2)","(2, 2, 1, 60)",46.55076500473565
"(1, 1, 2)","(2, 2, 2, 60)",46.550863478110365
"(2, 1, 2)","(1, 2, 2, 60)",46.550875312967214
"(2, 1, 1)","(2, 2, 2, 60)",47.11452138374295
"(2, 1, 2)","(2, 2, 2, 60)",48.550878567547166
"(1, 0, 0)","(0, 2, 1, 60)",51.547532026687854
"(1, 0, 0)","(1, 2, 0, 60)",51.55457546148693
"(1, 0, 0)","(0, 2, 2, 60)",51.933924180421776
"(1, 0, 0)","(1, 2, 1, 60)",53.53790717516444
