pdq,Spdq,aic
"(2, 0, 2)","(1, 0, 0, 24)",12.0
"(1, 0, 0)","(1, 0, 0, 24)",149.82183843009057
"(2, 2, 2)","(0, 2, 1, 24)",1450.4129405425563
"(0, 2, 2)","(0, 2, 1, 24)",1451.6462701135483
"(1, 2, 1)","(0, 2, 1, 24)",1451.671206347978
"(2, 2, 1)","(0, 2, 1, 24)",1452.696599153646
"(0, 2, 2)","(1, 2, 1, 24)",1453.3771829468649
"(1, 2, 2)","(0, 2, 1, 24)",1453.4051537813493
"(0, 2, 1)","(1, 2, 1, 24)",1455.3957084516967
"(0, 2, 1)","(0, 2, 2, 24)",1455.4333818443404
"(0, 2, 1)","(0, 2, 1, 24)",1456.1030469078153
"(0, 2, 1)","(1, 2, 2, 24)",1457.641924247307
"(2, 2, 2)","(2, 2, 1, 24)",1458.271139228201
"(2, 2, 2)","(1, 2, 1, 24)",1459.019269648355
"(2, 2, 2)","(0, 2, 2, 24)",1459.031485367654
"(1, 1, 1)","(0, 2, 1, 24)",1459.5079596578532
"(1, 1, 2)","(0, 2, 1, 24)",1460.1057476319206
"(0, 1, 1)","(0, 2, 2, 24)",1460.2920513759195
"(2, 1, 1)","(0, 2, 1, 24)",1460.4935370096273
"(2, 2, 2)","(1, 2, 2, 24)",1461.0092421715115
"(2, 2, 0)","(1, 2, 1, 24)",1461.1016503263834
"(0, 2, 2)","(2, 2, 0, 24)",1462.9670851278124
"(2, 2, 2)","(2, 2, 2, 24)",1463.019253718767
"(0, 1, 1)","(0, 2, 1, 24)",1463.1169708790023
"(0, 1, 0)","(0, 2, 1, 24)",1463.1467080543237
"(2, 1, 0)","(0, 2, 1, 24)",1463.494607110652
"(0, 1, 2)","(0, 2, 1, 24)",1463.9005786619953
"(2, 1, 2)","(0, 2, 1, 24)",1464.1605144172759
"(2, 1, 1)","(1, 2, 1, 24)",1464.2362429317598
"(0, 1, 1)","(2, 2, 2, 24)",1464.3441982149143
"(1, 1, 2)","(1, 2, 1, 24)",1464.4631052816653
"(1, 1, 2)","(0, 2, 2, 24)",1464.506258208884
"(0, 1, 1)","(1, 2, 1, 24)",1464.7181468155359
"(2, 2, 1)","(1, 2, 1, 24)",1464.9339413055152
"(2, 2, 1)","(0, 2, 2, 24)",1464.9487132621628
"(2, 1, 0)","(1, 2, 1, 24)",1465.035773325671
"(0, 1, 2)","(1, 2, 2, 24)",1465.0360247747462
"(2, 1, 0)","(0, 2, 2, 24)",1465.077349776154
"(0, 1, 2)","(1, 2, 1, 24)",1465.4663147464505
"(0, 1, 2)","(0, 2, 2, 24)",1465.5119547967734
"(1, 1, 0)","(0, 2, 1, 24)",1465.7167051137037
"(2, 1, 2)","(1, 2, 1, 24)",1465.7390802304833
"(2, 1, 2)","(0, 2, 2, 24)",1465.7875790419027
"(0, 2, 1)","(2, 2, 0, 24)",1466.0890625886038
"(1, 2, 2)","(1, 2, 1, 24)",1466.1452312674453
"(1, 2, 2)","(0, 2, 2, 24)",1466.160667319488
"(2, 1, 1)","(0, 2, 2, 24)",1466.181952588563
"(2, 2, 2)","(2, 2, 0, 24)",1466.1856373099226
"(1, 1, 2)","(1, 2, 2, 24)",1466.3270527636073
"(1, 1, 2)","(2, 2, 1, 24)",1466.3316732483963
"(0, 2, 2)","(0, 2, 2, 24)",1466.4126031313574
"(0, 1, 1)","(2, 2, 1, 24)",1466.6130195262226
"(1, 1, 1)","(1, 2, 1, 24)",1466.6888257579799
"(1, 1, 1)","(0, 2, 2, 24)",1466.7240793702697
"(0, 1, 1)","(1, 2, 2, 24)",1466.8388935186163
"(2, 2, 1)","(2, 2, 1, 24)",1466.895819175422
"(2, 1, 0)","(2, 2, 1, 24)",1466.9042708734419
"(2, 2, 1)","(1, 2, 2, 24)",1466.9207153621571
"(2, 1, 0)","(1, 2, 2, 24)",1467.171651679683
"(0, 1, 2)","(2, 2, 1, 24)",1467.330860702826
"(1, 2, 1)","(1, 2, 1, 24)",1467.3971909375232
"(1, 2, 1)","(0, 2, 2, 24)",1467.4089881073521
"(2, 1, 2)","(2, 2, 1, 24)",1467.5686331676832
"(1, 1, 0)","(1, 2, 1, 24)",1467.6254141847162
"(1, 1, 0)","(0, 2, 2, 24)",1467.6329693583848
"(2, 1, 2)","(1, 2, 2, 24)",1467.8784363237596
"(2, 1, 1)","(2, 2, 1, 24)",1468.1050799204645
"(1, 2, 2)","(2, 2, 1, 24)",1468.1122459085875
"(2, 1, 1)","(1, 2, 2, 24)",1468.113547728434
"(1, 2, 2)","(1, 2, 2, 24)",1468.1325520149571
"(1, 1, 2)","(2, 2, 2, 24)",1468.3129470158474
"(0, 2, 2)","(2, 2, 1, 24)",1468.3890904279115
"(0, 2, 2)","(1, 2, 2, 24)",1468.3978867798737
"(1, 1, 1)","(1, 2, 2, 24)",1468.5721964595637
"(1, 1, 1)","(2, 2, 1, 24)",1468.5848879527218
"(2, 2, 1)","(2, 2, 2, 24)",1468.8697411151154
"(2, 1, 0)","(2, 2, 2, 24)",1468.8721495959312
