pdq,Spdq,aic
"(0, 2, 2)","(1, 2, 1, 36)",1042.3093859656933
"(0, 2, 2)","(0, 2, 2, 36)",1044.164947379762
"(2, 2, 2)","(1, 2, 1, 36)",1048.84720084431
"(1, 2, 1)","(0, 2, 2, 36)",1049.1510450484834
"(1, 2, 1)","(1, 2, 1, 36)",1049.1913238322709
"(0, 2, 1)","(1, 2, 1, 36)",1050.627840703581
"(0, 2, 1)","(1, 2, 2, 36)",1051.2745052549567
"(0, 2, 1)","(2, 2, 1, 36)",1051.3496955524167
"(1, 2, 1)","(2, 2, 2, 36)",1052.1720268149086
"(0, 2, 1)","(2, 2, 0, 36)",1052.9081901407133
"(0, 2, 1)","(0, 2, 2, 36)",1052.9335940713697
"(0, 1, 0)","(2, 2, 0, 36)",1062.0982656033393
"(0, 1, 0)","(1, 2, 1, 36)",1062.347590591638
"(1, 1, 2)","(2, 2, 0, 36)",1062.5427572540307
"(1, 2, 2)","(0, 2, 1, 36)",1062.6544704082842
"(0, 1, 1)","(1, 2, 1, 36)",1063.5506964287958
"(1, 1, 0)","(2, 2, 0, 36)",1063.8423526722993
"(0, 1, 1)","(2, 2, 0, 36)",1063.8465118171316
"(1, 1, 0)","(1, 2, 1, 36)",1064.026057988457
"(0, 1, 0)","(2, 2, 1, 36)",1065.141029906675
"(0, 2, 1)","(0, 2, 1, 36)",1068.9215228526275
"(2, 2, 2)","(0, 2, 1, 36)",1069.983176979315
"(1, 2, 2)","(1, 2, 1, 36)",1072.8098410193604
"(1, 2, 2)","(1, 2, 2, 36)",1073.154257642006
"(1, 2, 2)","(2, 2, 0, 36)",1073.6320536886565
"(1, 2, 2)","(0, 2, 2, 36)",1073.675517949307
"(2, 2, 2)","(1, 2, 0, 36)",1073.8609919718879
"(2, 2, 2)","(2, 2, 0, 36)",1074.3289638723425
"(0, 2, 2)","(2, 2, 0, 36)",1074.3493826372464
"(2, 1, 1)","(0, 2, 1, 36)",1074.5719787174537
"(1, 2, 1)","(2, 2, 0, 36)",1074.9341019047833
"(1, 2, 2)","(2, 2, 1, 36)",1075.4204851240709
"(1, 2, 0)","(1, 2, 1, 36)",1075.9805155661631
"(2, 2, 2)","(2, 2, 1, 36)",1076.1577195054883
"(0, 2, 2)","(2, 2, 1, 36)",1076.1649443818126
"(2, 2, 1)","(2, 2, 0, 36)",1076.4002891367275
"(0, 2, 2)","(1, 2, 2, 36)",1076.5142076767345
"(2, 2, 2)","(0, 2, 2, 36)",1076.5823461898797
"(1, 2, 1)","(2, 2, 1, 36)",1076.7072588471206
"(2, 2, 2)","(1, 2, 2, 36)",1076.757731574795
"(1, 2, 1)","(1, 2, 2, 36)",1077.2669771040396
"(2, 2, 1)","(0, 2, 2, 36)",1077.2701061564271
"(1, 2, 2)","(2, 2, 2, 36)",1077.4138544659045
"(2, 2, 1)","(1, 2, 1, 36)",1077.6611532635854
"(2, 1, 2)","(2, 2, 0, 36)",1077.8196112284415
"(0, 2, 2)","(0, 2, 1, 36)",1077.9260565695386
"(2, 2, 2)","(2, 2, 2, 36)",1078.1545645770445
"(0, 2, 2)","(2, 2, 2, 36)",1078.1598274827668
"(2, 2, 1)","(2, 2, 1, 36)",1078.1904704488609
"(1, 2, 1)","(0, 2, 1, 36)",1078.5125221196229
"(2, 2, 1)","(1, 2, 2, 36)",1078.6538237017148
"(1, 2, 2)","(1, 2, 0, 36)",1078.8775479087926
"(0, 2, 2)","(1, 2, 0, 36)",1079.2442794169624
"(2, 2, 1)","(0, 2, 1, 36)",1079.9326578581652
"(0, 2, 1)","(1, 2, 0, 36)",1080.1040082693867
"(2, 2, 1)","(2, 2, 2, 36)",1080.1847388562585
"(0, 1, 2)","(2, 2, 0, 36)",1080.935402523158
"(2, 1, 0)","(2, 2, 0, 36)",1081.584973522717
"(1, 1, 0)","(2, 2, 1, 36)",1081.828083024235
"(1, 2, 1)","(1, 2, 0, 36)",1081.950238994039
"(1, 1, 1)","(2, 2, 0, 36)",1082.352010266265
"(2, 1, 1)","(2, 2, 0, 36)",1082.3564218756894
"(2, 2, 1)","(1, 2, 0, 36)",1082.7315439292831
"(1, 1, 2)","(2, 2, 1, 36)",1082.7756074437427
"(0, 1, 2)","(2, 2, 1, 36)",1082.844456315264
"(0, 1, 1)","(2, 2, 1, 36)",1082.9095913831243
"(0, 1, 1)","(1, 2, 0, 36)",1083.0579702112607
"(1, 1, 0)","(1, 2, 2, 36)",1083.0867019121608
"(1, 1, 0)","(0, 2, 2, 36)",1083.1308868923768
"(0, 1, 1)","(0, 2, 2, 36)",1083.4736374554159
"(0, 1, 2)","(0, 2, 2, 36)",1083.4917631658752
"(2, 1, 0)","(2, 2, 1, 36)",1083.4981244730602
"(2, 1, 2)","(2, 2, 1, 36)",1083.5729023005117
"(1, 1, 0)","(2, 2, 2, 36)",1083.827541393342
"(0, 1, 2)","(1, 2, 1, 36)",1084.0563959063747
"(1, 1, 2)","(1, 2, 1, 36)",1084.08017736394
"(0, 1, 2)","(1, 2, 2, 36)",1084.0845894620636
"(1, 1, 2)","(1, 2, 2, 36)",1084.1401742362464
"(0, 1, 1)","(1, 2, 2, 36)",1084.1818471101826
"(1, 1, 2)","(0, 2, 2, 36)",1084.216213744381
"(1, 1, 1)","(2, 2, 1, 36)",1084.2697585251537
